canonical_target_path	canonical_text_sha256	source_repository	source_HEAD	source_relative_path	source_blob_oid_if_available	source_raw_sha256	equivalence_reason
reports/global/proved_results_index_v3.md	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	critical	9a4e0481444302b81c69c53d599d69979616a034	reports/proved_results_index_v3.md	3926e08fa0e21306a596e4c1909964a9442e34da	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	EXACT_CANONICAL_TEXT
reports/global/proved_results_index_v3.md	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	00-foundation/proved_results_index_v3.md	3926e08fa0e21306a596e4c1909964a9442e34da	c1eb0aa2fb8fe3db25ac3ffa4a589793ecb13d89f44031793261e63873c8f9ec	LINE_ENDING_ONLY
reports/global/proved_results_report_v3.md	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	critical	9a4e0481444302b81c69c53d599d69979616a034	reports/proved_results_report_v3.md	408ee052831fdf81ce8aa028d8229a819c6e64d7	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	EXACT_CANONICAL_TEXT
reports/global/proved_results_report_v3.md	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	00-foundation/proved_results_report_v3.md	408ee052831fdf81ce8aa028d8229a819c6e64d7	d3dc278b86488a3dfd70c3756e60ef4cde3c3e052622f149843a0fc0be4f5fb8	LINE_ENDING_ONLY
reports/strict/state/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md	7d9f2a8e35b2615ca83be7cc2acbd31d4f90586b7dd759736f9262ce69401c7c	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md	47b6e4a60781996385a5c0648465a5cc186b8425	0ac9c1032ecabb5812dbf3c630b253c192515c331c8355c0c78aa3832b5ae332	LINE_ENDING_ONLY
reports/strict/state/strict_layer_A1_SRCU_state_after_campaign.md	3443b40f4efc15322e221027a34be8103563885d8790830077c1bf1ac46adc0b	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_SRCU_state_after_campaign.md	a22076881e7ae9e54d8c798214f9ba4eb3059dbe	ba63a4e56fe834703a8b0f0e20e7a3f0f575944efb2fc694c0f6225777996a8a	EXACT_CANONICAL_TEXT
reports/strict/state/strict_layer_A1_unified_state_after_long_campaign.md	94cb7334b1625fc8634a388c83e361cd08e10027cb57d6ec256082712f15bbcb	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_unified_state_after_long_campaign.md	b3451dc245040146abf72f1226b670241eb6063e	219881b9944111ce769a503bc272b7efb2f3ae4f4db7ca5db05bc0f4c7bf6e3c	LINE_ENDING_ONLY
research/critical/frontiers/critical_G_A2_high_phi_Fprimary_minus_P0_frontier_research_20260813.md	3ae97ff674384387f5b9a9e4756eefafdd568ecb057553afa57aa8fd1a7186f8	critical	9a4e0481444302b81c69c53d599d69979616a034	critical_G_A2_high_phi_Fprimary_minus_P0_frontier_research_20260813.md		3ae97ff674384387f5b9a9e4756eefafdd568ecb057553afa57aa8fd1a7186f8	EXACT_CANONICAL_TEXT
research/strict/A1-backward/strict_layer_backward_A1_2x5_decimal_synchronization_campaign.md	a460a1427aa4fad487410f0b81735319eceff1ca87026a5b4161c44f49a047c8	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_backward_A1_2x5_decimal_synchronization_campaign.md	4dc6c10053be4d3a082f6c2a1d46b43d52e148b1	61ee6ff2b956d2de5cbbba0f557a50f902a07f460dd63a60e67cf1c56a6add68	EXACT_CANONICAL_TEXT
research/strict/A1-backward/strict_layer_backward_A1_5phase_cut_synchronization_campaign.md	34d8764df0d99e505939e9ffd2c4e99e563e2349b8428e91481ff71ff92323b2	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_backward_A1_5phase_cut_synchronization_campaign.md	81bc3349ce4fcb9e3360c1779b6c47fd47a779b0	2ce8bf751baf83349226683f033bf52268e9f5cdca4dd62468ab40678bad851f	EXACT_CANONICAL_TEXT
research/strict/A1-backward/strict_layer_backward_A1_common_U_pullback_primitive_radial_gluing_campaign.md	b27f0dec82b9ca669e98771335698b602f77d5c437737542bb34b3d60ad1f6e9	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_backward_A1_common_U_pullback_primitive_radial_gluing_campaign.md	3e23daa4c1c970b35e06d86734e12f7127eee0b8	6af5ee9f4182ddf286586925c2b6e3224f591190d1460b121394d2c0c67d550f	EXACT_CANONICAL_TEXT
research/strict/A1-backward/strict_layer_backward_A1_same_cut_norm_excess_campaign.md	c558bfd531bb0680ed0762d50c18a16ec7f2d7367213ef83935e9d8ce0a62280	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_backward_A1_same_cut_norm_excess_campaign.md	a7da7deabe4e1d02fa66ae9d01a6921077faa0ae	0d99f8fb86aa0bc8ac5de6283925e555c7cfffac80d0019ffece20780888a50d	EXACT_CANONICAL_TEXT
research/strict/A1-backward/strict_layer_backward_A1_word_recovery_architecture_campaign.md	d48e4073da7fd65dae0c1828804cbff4717a96081ba126247477bf757a47fc6a	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_backward_A1_word_recovery_architecture_campaign.md	1ca4d0fd898ae3f1fc6e65f5e3f578eac60b2114	748dc49340e470ea63b4be820673c00ad7527e99f88bb9eb4afec6a06b41fc81	EXACT_CANONICAL_TEXT
research/strict/A1-forward/strict_layer_A1_double_euclidean_smith_gcd_terminal_campaign.md	f90ab827fe157876aea20c335a576254cf0c3eb663051c11c1a671c12eeed370	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_double_euclidean_smith_gcd_terminal_campaign.md	f9ec8c87a3f1054a1a5ac95d6f5073e195012d42	b193cdd29cd14f70290a08dfe1ae0e3c93ef91c8a41e20d83c7f25422acbabe3	EXACT_CANONICAL_TEXT
research/strict/A1-forward/strict_layer_A1_double_euclidean_word_smith_terminal_campaign.md	2e72adca88e837afd1f1503daa3135a1ca7393f6717167648d1e034d5cb08d3c	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_double_euclidean_word_smith_terminal_campaign.md	fe41c1dc0fd9868e31a0752c238d12594164fdee	501362cf314848b73d3446bd7ce5af77238c56e7d6ed7f60101ef80f90ed3169	EXACT_CANONICAL_TEXT
research/strict/A1-forward/strict_layer_A1_exact_mantissa_defect_quotient_campaign.md	f5881416c13195ca1e72862b126c7f87fb92dd2e970fa9803c8548e2c05102dd	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_exact_mantissa_defect_quotient_campaign.md	dbe489163c77e95a5b7444e628d04a2e050015b2	532234eff08a1792355917caa291ea97f272c81d14a8395010e62025ed6db27b	EXACT_CANONICAL_TEXT
research/strict/A1-forward/strict_layer_A1_flat_locus_structural_elimination_campaign.md	870de827e5bdcdf438d82d81da5ab25d42ce271d62c665c59a16a82f28694ca8	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_flat_locus_structural_elimination_campaign.md	9ce4e5e31301093d75f6bcbad76e02eb403691c8	2f70de6f2d79ff5b9e5c2a23575d87d2667b3e1eb76ab784c62241303b896cc9	EXACT_CANONICAL_TEXT
research/strict/A1-forward/strict_layer_A1_generic_primitive_defect_synchronization_campaign.md	41d961fa7a243d91b6346c4f8b406922278fddb3d89ebdc36393054ebf9f9f5d	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_generic_primitive_defect_synchronization_campaign.md	d489ee20246860006627d3b09b6445283029d9b9	7f149c8d3213473162132ec3a10197f881d880e002f2bffc6196e46ecd8394fd	EXACT_CANONICAL_TEXT
research/strict/A1-forward/strict_layer_A1_iterated_smith_coprime_radial_exclusion_campaign.md	7f8ba8746b3a0f3812401ca7dacb79a91a7ae96708d285a2696822258f893ffd	strict	ff3c28197be0c0f55ad5628a5d76182120e454c1	archive-by-series/30-A1-pre-J2/strict_layer_A1_iterated_smith_coprime_radial_exclusion_campaign.md	b2e307dc73aaafde95fd4b709482b7ba10a3362b	c459c3ca65624c112a96895c34d8fa01e500606c6fe441fc2b30baf3f146698e	EXACT_CANONICAL_TEXT
